Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Country,ISO,Region,Continent,Location,Dis Mag Value,Dis Mag Scale,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Insured Damages ('000 US$),Total Damages ('000 US$),CPI,Disaster Duration
0.0,0.9110323886639676,Natural,Climatological,Drought,Drought,Cabo Verde,CPV,Western Africa,Africa,Countrywide,1.600653342935718e-05,Km2,0.0,0.5454545454545454,0.4666666666666667,0.0,0.5454545454545454,0.5,0.002972703506136083,2.7222237345687417e-05,3.030000009181818e-05,0.0001890852092905759,1.8072727327493113e-05,0.0028744349621798123,0.00028570476462575964,0.0,1
0.0,0.9109311740890688,Natural,Climatological,Drought,Drought,India,IND,Southern Asia,Asia,Bengal,1.600653342935718e-05,Km2,0.0,0.5454545454545454,0.4666666666666667,0.0,0.5454545454545454,0.5,0.33783765887504297,2.7222237345687417e-05,3.030000009181818e-05,0.0001890852092905759,1.8072727327493113e-05,0.0028744349621798123,0.00028570476462575964,0.0,1
0.01652892561983421,0.0011133603238866396,Natural,Geophysical,Earthquake,Ground movement,Guatemala,GTM,Central America,Americas,"Quezaltenango, San Marcos",4.990046392845164e-06,Richter,0.01652892561983421,0.2727272727272727,0.5666666666666667,0.01652892561983421,0.2727272727272727,0.5666666666666667,0.0005402704162893017,2.7222237345687417e-05,3.030000009181818e-05,0.0001890852092905759,1.8072727327493113e-05,0.0028744349621798123,0.00011903809637179139,0.0013315569790782883,0
0.01652892561983421,0.00020242914979757081,Natural,Geophysical,Volcanic activity,Ash fall,Guatemala,GTM,Central America,Americas,North,1.600653342935718e-05,Km2,0.01652892561983421,0.2727272727272727,0.23333333333333334,0.01652892561983421,0.2727272727272727,0.23333333333333334,0.00027000007297299267,2.7222237345687417e-05,3.030000009181818e-05,0.0001890852092905759,1.8072727327493113e-05,0.0028744349621798123,0.00028570476462575964,0.0013315569790782883,0
0.01652892561983421,0.0009109311740890688,Natural,Geophysical,Volcanic activity,Ash fall,Guatemala,GTM,Central America,Americas,North,1.600653342935718e-05,Km2,0.01652892561983421,0.8181818181818182,0.7666666666666667,0.01652892561983421,0.8181818181818182,0.7666666666666667,0.001621351789554538,2.7222237345687417e-05,3.030000009181818e-05,0.0001890852092905759,1.8072727327493113e-05,0.0028744349621798123,0.00028570476462575964,0.0013315569790782883,0
0.024793388429753094,0.000506072874493927,Natural,Geophysical,Mass movement (dry),Rockfall,Canada,CAN,Northern America,Americas,"Frank, Alberta",1.600653342935718e-05,Km2,0.024793388429753094,0.2727272727272727,0.9333333333333333,0.024793388429753094,0.2727272727272727,0.9333333333333333,2.0270275748723176e-05,1.2222229012349451e-05,3.030000009181818e-05,0.0001890852092905759,6.666666686868686e-08,0.0028744349621798123,0.00028570476462575964,0.0026631139581565766,0
0.024793388429753094,0.0011133603238866396,Natural,Geophysical,Volcanic activity,Ash fall,Comoros (the),COM,Eastern Africa,Africa,North,1.600653342935718e-05,Km2,0.024793388429753094,0.5454545454545454,0.4666666666666667,0.024793388429753094,0.5454545454545454,0.5,4.324325493060944e-06,2.7222237345687417e-05,3.030000009181818e-05,0.0001890852092905759,1.8072727327493113e-05,0.0028744349621798123,0.00028570476462575964,0.0026631139581565766,1
0.0330578512396702,0.00020242914979757081,Natural,Meteorological,Storm,Tropical cyclone,Bangladesh,BGD,Southern Asia,Asia,Chittagong,1.600653342935718e-05,Kph,0.0330578512396702,0.9090909090909091,0.4666666666666667,0.0330578512396702,0.9090909090909091,0.5,5.135136523009872e-06,2.7222237345687417e-05,3.030000009181818e-05,0.0001890852092905759,1.8072727327493113e-05,0.0028744349621798123,0.00028570476462575964,0.0026631139581565766,1
0.041322314049587305,0.0004048582995951417,Natural,Geophysical,Mass movement (dry),Rockfall,Canada,CAN,Northern America,Americas,"Spence's Bridge, British Columbia",1.600653342935718e-05,Km2,0.041322314049587305,0.6363636363636364,0.4,0.041322314049587305,0.6363636363636364,0.4,4.594595836377254e-06,9.44444969136094e-06,3.030000009181818e-05,0.0001890852092905759,5.1515151671258033e-08,0.0028744349621798123,0.00028570476462575964,0.0026631139581565766,0
0.041322314049587305,0.00020242914979757081,Natural,Geophysical,Earthquake,Ground movement,India,IND,Southern Asia,Asia,Kangra,4.990046392845164e-06,Richter,0.041322314049587305,0.2727272727272727,0.1,0.041322314049587305,0.2727272727272727,0.1,0.005405136595982864,2.7222237345687417e-05,3.030000009181818e-05,0.0001890852092905759,1.8072727327493113e-05,0.0028744349621798123,0.00011903809637179139,0.0026631139581565766,0
